State,League,league_years,DT,Home,Away,Winner,Home_points,Away_points,H_14,A_14,H_24,A_24,H_34,A_34,H_44,A_44,H_54,A_54
CZ,NBA,2023-2024,2024-11-12 17:00:00,Srsni Pisek,Slavia Prague,away,104,69,36,16,21,19,26,18,21,16,0,0
CZ,NBA,2023-2024,2024-11-11 17:45:00,Kolin,Usti n. Labem,home,112,108,22,26,23,17,30,21,14,25,23,19
CZ,NBA,2023-2024,2024-11-11 17:30:00,Pardubice,Decin,away,64,99,14,19,16,28,16,24,18,28,0,0
CZ,NBA,2023-2024,2024-11-11 17:00:00,Opava,NH Ostrava,home,80,75,13,19,24,20,22,15,21,21,0,0
CZ,NBA,2023-2024,2024-11-11 15:30:00,Brno,USK Prague,home,75,63,17,12,16,15,18,17,24,19,0,0
CZ,NBA,2023-2024,2024-11-11 15:00:00,Nymburk,Olomoucko,home,95,71,26,16,23,16,23,19,23,20,0,0
CZ,NBA,2023-2024,2024-11-08 17:30:00,Pardubice,Opava,home,91,103,25,34,20,20,26,27,20,22,0,0
CZ,NBA,2023-2024,2024-11-04 20:00:00,Opava,Decin,away,116,91,28,21,25,19,35,28,28,23,0,0
CZ,NBA,2023-2024,2024-11-04 20:00:00,Slavia Prague,Brno,away,76,80,21,20,17,20,17,23,21,17,0,0
CZ,NBA,2023-2024,2024-11-04 18:00:00,Olomoucko,Srsni Pisek,away,81,98,19,25,25,28,24,19,13,26,0,0
CZ,NBA,2023-2024,2024-11-04 17:30:00,USK Prague,Pardubice,home,86,71,19,20,22,19,20,23,25,9,0,0
CZ,NBA,2023-2024,2024-11-04 15:45:00,Kolin,NH Ostrava,home,67,65,21,20,13,15,20,16,13,14,0,0
CZ,NBA,2023-2024,2024-11-01 18:30:00,Slavia Prague,USK Prague,away,90,94,22,15,24,27,20,24,18,18,6,10
CZ,NBA,2023-2024,2024-11-01 18:00:00,Decin,Kolin,home,89,70,21,24,23,16,19,13,26,17,0,0
CZ,NBA,2023-2024,2024-11-01 18:00:00,Srsni Pisek,Usti n. Labem,away,78,87,14,18,19,23,24,23,21,23,0,0
CZ,NBA,2023-2024,2024-10-29 17:00:00,Srsni Pisek,NH Ostrava,home,83,80,24,18,27,28,12,20,20,14,0,0
CZ,NBA,2023-2024,2024-10-28 18:00:00,Brno,Usti n. Labem,away,70,89,20,25,16,21,20,15,14,28,0,0
CZ,NBA,2023-2024,2024-10-28 18:00:00,Kolin,Opava,home,90,89,20,25,13,15,31,23,26,26,0,0
CZ,NBA,2023-2024,2024-10-28 18:00:00,Slavia Prague,Pardubice,away,57,83,11,21,16,23,15,23,15,16,0,0
CZ,NBA,2023-2024,2024-10-28 17:30:00,USK Prague,Olomoucko,home,81,70,21,21,14,15,20,14,26,20,0,0
CZ,NBA,2023-2024,2024-10-28 15:00:00,Nymburk,Decin,home,94,75,22,25,27,16,17,14,28,20,0,0
CZ,NBA,2023-2024,2024-10-24 17:30:00,Pardubice,Srsni Pisek,away,100,104,19,29,25,17,36,25,20,33,0,0
CZ,NBA,2023-2024,2024-10-22 18:00:00,Usti n. Labem,USK Prague,home,81,66,24,15,22,17,18,24,17,10,0,0
CZ,NBA,2023-2024,2024-10-21 19:00:00,Pardubice,Kolin,home,86,61,15,17,24,15,27,11,20,18,0,0
CZ,NBA,2023-2024,2024-10-21 18:00:00,Decin,Srsni Pisek,away,103,93,34,18,23,29,22,24,24,22,0,0
CZ,NBA,2023-2024,2024-10-21 18:00:00,Olomoucko,Slavia Prague,away,100,102,15,22,29,19,25,23,22,27,9,11
CZ,NBA,2023-2024,2024-10-21 17:30:00,NH Ostrava,Brno,away,79,83,28,16,16,16,19,23,16,28,0,0
CZ,NBA,2023-2024,2024-10-21 17:15:00,Opava,Nymburk,away,85,98,25,24,19,31,15,22,26,21,0,0
CZ,NBA,2023-2024,2024-10-18 17:30:00,NH Ostrava,Slavia Prague,home,98,68,23,11,17,18,31,12,27,27,0,0
CZ,NBA,2023-2024,2024-10-15 18:00:00,Usti n. Labem,Slavia Prague,home,84,77,30,15,20,25,17,15,17,22,0,0
CZ,NBA,2023-2024,2024-10-14 18:30:00,Brno,Decin,away,101,79,31,25,28,28,23,19,19,7,0,0
CZ,NBA,2023-2024,2024-10-14 18:00:00,Olomoucko,Pardubice,home,87,86,23,17,33,21,18,27,13,21,0,0
CZ,NBA,2023-2024,2024-10-14 17:30:00,USK Prague,NH Ostrava,home,83,69,23,26,15,10,23,7,22,26,0,0
CZ,NBA,2023-2024,2024-10-14 17:00:00,Srsni Pisek,Opava,home,94,91,26,24,25,18,25,21,18,28,0,0
CZ,NBA,2023-2024,2024-10-13 10:00:00,Nymburk,Kolin,home,81,59,25,30,13,13,23,4,20,12,0,0
CZ,NBA,2023-2024,2024-10-11 18:00:00,Decin,USK Prague,home,93,79,28,18,26,22,21,24,18,15,0,0
CZ,NBA,2023-2024,2024-10-11 18:00:00,Nymburk,Pardubice,away,104,70,23,13,24,23,29,20,28,14,0,0
CZ,NBA,2023-2024,2024-10-11 18:00:00,Opava,Brno,away,103,75,20,23,21,11,23,19,39,22,0,0
CZ,NBA,2023-2024,2024-10-11 18:00:00,Usti n. Labem,Olomoucko,away,105,87,19,22,28,24,40,19,18,22,0,0
CZ,NBA,2023-2024,2024-10-11 17:45:00,Kolin,Srsni Pisek,away,91,94,24,24,25,27,15,29,27,14,0,0
CZ,NBA,2023-2024,2024-10-08 17:30:00,Pardubice,Usti n. Labem,away,81,97,18,24,17,24,21,30,25,19,0,0
CZ,NBA,2023-2024,2024-10-08 17:00:00,Srsni Pisek,Nymburk,home,70,115,17,29,19,25,17,33,17,28,0,0
CZ,NBA,2023-2024,2024-10-07 18:00:00,Olomoucko,NH Ostrava,home,97,88,20,21,25,18,28,24,24,25,0,0
CZ,NBA,2023-2024,2024-10-07 18:00:00,Slavia Prague,Decin,home,80,76,18,21,18,10,18,25,26,20,0,0
CZ,NBA,2023-2024,2024-10-07 17:45:00,Kolin,Brno,home,79,60,27,12,22,18,15,18,15,12,0,0
CZ,NBA,2023-2024,2024-10-07 17:30:00,USK Prague,Opava,away,71,82,12,20,28,15,13,29,18,18,0,0
CZ,NBA,2023-2024,2024-10-04 18:30:00,Slavia Prague,Opava,away,78,98,23,22,11,22,19,23,25,31,0,0
CZ,NBA,2023-2024,2024-10-04 18:00:00,Nymburk,Brno,away,69,72,13,20,24,16,13,20,19,16,0,0
